ลำดับ,รายการ,หมายเลขครุภัณฑ์,หมายเลขสินทรัพย์ตามระบบ GFMIS,วันที่ได้มา,จำนวน,สภาพครุภัณฑ์,หมายเหตุ,ประเภท,สถาน
162,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17182,-,27-ก.ย.-49,1,ใช้ได้,หัวหน้าโจ,เก้าอี้,-
163,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17183,-,27-ก.ย.-49,1,ใช้ได้,พี่เขี้ยว,เก้าอี้,-
164,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17184,-,27-ก.ย.-49,1,ใช้ได้,พี่มาย,เก้าอี้,-
165,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17185,-,27-ก.ย.-49,1,ใช้ได้,ห้องปฏิบัติการ 2 (ขวัญ),เก้าอี้,ห้องปฏิบัติการ 2
166,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17186,-,27-ก.ย.-49,1,ใช้ได้,พี่จึง,เก้าอี้,-
167,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17187,-,27-ก.ย.-49,1,ใช้ได้,พี่เอี้ยง,เก้าอี้,-
168,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17188,-,27-ก.ย.-49,1,ใช้ได้,ห้องจัดเก็บครุภัณฑ์,เก้าอี้,ห้องจัดเก็บครุภัณฑ์
169,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17189,-,27-ก.ย.-49,1,ใช้ได้,พี่นิวัฒน์,เก้าอี้,-
170,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17190,-,27-ก.ย.-49,1,ใช้ได้,ห้องจัดเก็บครุภัณฑ์คอมพิวเตอร์,เก้าอี้,ห้องจัดเก็บครุภัณฑ์คอมพิวเตอร์
171,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17191,-,27-ก.ย.-49,1,ใช้ได้,ห้องปฏิบัติการ 3,เก้าอี้,ห้องปฏิบัติการ 3
172,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17192,-,27-ก.ย.-49,1,ใช้ได้,ห้องปฏิบัติการ 2 (ตึก),เก้าอี้,ห้องปฏิบัติการ 2
173,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17193,-,27-ก.ย.-49,1,ใช้ได้,หน้าลิฟท์ด้านหลัง (ชำรุด),เก้าอี้,-
174,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17194,-,27-ก.ย.-49,1,ใช้ได้,ห้องปฏิบัติการ 2 (เป้),เก้าอี้,ห้องปฏิบัติการ 2
175,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17195,-,27-ก.ย.-49,1,ใช้ได้,พี่หน่อย,เก้าอี้,-
176,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17196,-,27-ก.ย.-49,1,ใช้ได้,พี่จอม,เก้าอี้,-
177,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17197,-,27-ก.ย.-49,1,ใช้ได้,ห้องcom 105,เก้าอี้,-
178,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17198,-,27-ก.ย.-49,1,ใช้ได้,จิตรานุช,เก้าอี้,-
179,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17199,-,27-ก.ย.-49,1,ใช้ได้,พี่หน่อย,เก้าอี้,-
180,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17200,-,27-ก.ย.-49,1,ใช้ได้,แอ๊ว,เก้าอี้,-
181,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17201,-,27-ก.ย.-49,1,ใช้ได้,ธวัชชัย,เก้าอี้,-
182,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17202,-,27-ก.ย.-49,1,ใช้ได้,แท๊บ,เก้าอี้,-
183,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17203,-,27-ก.ย.-49,1,ใช้ได้,หน้าห้องพี่ย๊ะ,เก้าอี้,-
184,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17204,-,27-ก.ย.-49,1,ใช้ได้,พี่เป้,เก้าอี้,-
185,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-46603,-,01-ต.ค.-61,1,ใช้ได้,แอฟ,เก้าอี้,-
186,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-46604,-,01-ต.ค.-61,1,ใช้ได้,กีก,เก้าอี้,-
187,เก้าอี้ (ระดับ 7-8),7110-006-17205,-,27-ก.ย.-49,1,ใช้ได้,หัวหน้าโจ,เก้าอี้,-
188,เก้าอี้ (ระดับ 7-8),7110-006-17206,-,27-ก.ย.-49,1,ใช้ได้,หัวหน้าเชา,เก้าอี้,-
189,เก้าอี้ (ระดับ 7-8),7110-006-17207,-,27-ก.ย.-49,1,ใช้ได้,ปีน,เก้าอี้,-
190,เก้าอี้ (ระดับ 7-8),7110-006-17208,-,27-ก.ย.-49,1,ใช้ได้,พี่เป็ด,เก้าอี้,-
191,เก้าอี้หมุนพนักพิง,7110-006-17210,-,27-ก.ย.-49,1,ใช้ได้,ห้องจัดเก็บครุภัณฑ์,เก้าอี้,ห้องจัดเก็บครุภัณฑ์
192,เก้าอี้หมุนพนักพิง,7110-006-17211,-,27-ก.ย.-49,1,ใช้ได้,ห้องปฏิบัติการ 2 ,เก้าอี้,ห้องปฏิบัติการ 2
193,เก้าอี้หมุนพนักพิง,7110-006-17213,-,27-ก.ย.-49,1,ใช้ได้,ห้องปฏิบัติการ 3 (เต้อ),เก้าอี้,ห้องปฏิบัติการ 3
194,เก้าอี้หมุนพนักพิง,7110-006-17215,-,27-ก.ย.-49,1,ใช้ได้,ห้องเก็บของ,เก้าอี้,ห้องเก็บของ
195,เก้าอี้หมุนพนักพิง,7110-006-17216,-,27-ก.ย.-49,1,ชำรุด,หน้าลิฟท์ด้านหลัง (ชำรุด),เก้าอี้,-
196,เก้าอี้หมุนพนักพิง,7110-006-17220,-,27-ก.ย.-49,1,ใช้ได้,ห้องปฏิบัติการ 3 (เดฟ),เก้าอี้,ห้องปฏิบัติการ 3
197,เก้าอี้หมุนพนักพิง,7110-006-17222,-,27-ก.ย.-49,1,ใช้ได้,ห้องจัดเก็บครุภัณฑ์,เก้าอี้,ห้องจัดเก็บครุภัณฑ์
198,เก้าอี้หมุนพนักพิง,7110-006-17223,-,27-ก.ย.-49,1,ใช้ได้,หน้าลิฟท์ด้านหลัง (ชำรุด),เก้าอี้,-
199,เก้าอี้หมุนพนักพิง,7110-006-17224,-,27-ก.ย.-49,1,ใช้ได้,ห้องcom 105,เก้าอี้,-
200,เก้าอี้หมุนพนักพิง,711๐-007-9-1889,-,27-ก.ย.-49,1,ใช้ได้,ห้องจัดเก็บครุภัณฑ์,เก้าอี้,ห้องจัดเก็บครุภัณฑ์
201,เก้าอี้หมุนพนักพิง,7110-006-17214,-,27-ก.ย.-49,1,ใช้ได้,หน้าลิฟท์ด้านหลัง (ชำรุด),เก้าอี้,-
202,เก้าอี้หมุนพนักพิง,7110-006-17219,-,27-ก.ย.-49,1,ใช้ได้,หน้าห้องประชุม,เก้าอี้,-
203,เก้าอี้หมุนพนักพิง,7110-006-17226,-,27-ก.ย.-49,1,ใช้ได้,ด้านหน้าสมชาย,เก้าอี้,-
204,เก้าอี้หมุนพนักพิง,7110-006-17228,-,27-ก.ย.-49,1,ใช้ได้,ห้องปฏิบัติการ 3 ,เก้าอี้,ห้องปฏิบัติการ 3
205,เก้าอี้หมุนพนักพิง,7110-006-18294,-,27-ก.ย.-49,1,ชำรุด,หน้าลิฟท์ด้านหลัง (ชำรุด),เก้าอี้,-
206,เก้าอี้สำหรับที่ประชุม,7110-006-17229,-,27-ก.ย.-49,1,ใช้ได้,พี่ย๊ะ,เก้าอี้,-
207,เก้าอี้สำหรับที่ประชุม,7110-006-17230,-,27-ก.ย.-49,1,ใช้ได้,ห้องปฏิบัติการ 3 ,เก้าอี้,ห้องปฏิบัติการ 3
208,เก้าอี้สำหรับที่ประชุม,7110-006-17231,-,27-ก.ย.-49,1,ใช้ได้,ห้องเก็บของครัว,เก้าอี้,ห้องเก็บของครัว
209,เก้าอี้สำหรับที่ประชุม,7110-006-17232,-,27-ก.ย.-49,1,ใช้ได้,ห้องเก็บวัสดุสำนักงาน,เก้าอี้,-
210,เก้าอี้สำหรับที่ประชุม,7110-006-17233,-,27-ก.ย.-49,1,ใช้ได้,พี่ย๊ะ,เก้าอี้,-
211,เก้าอี้สำหรับที่ประชุม,7110-006-17234,-,27-ก.ย.-49,1,ใช้ได้,หน้าห้องประชุม,เก้าอี้,-
212,เก้าอี้สำหรับที่ประชุม,7110-006-17235,-,27-ก.ย.-49,1,ใช้ได้,ห้องพี่ย๊ะ,เก้าอี้,-
213,เก้าอี้สำหรับที่ประชุม,7110-006-17236,-,27-ก.ย.-49,1,ใช้ได้,ห้องเก็บวัสดุสำนักงาน,เก้าอี้,-
214,เก้าอี้สำหรับที่ประชุม,7110-006-17237,-,27-ก.ย.-49,1,ใช้ได้,ห้องประชุม,เก้าอี้,ห้องประชุม
215,เก้าอี้สำหรับที่ประชุม,7110-006-17238,-,27-ก.ย.-49,1,ชำรุด,หญิง,เก้าอี้,-
216,เก้าอี้สำหรับที่ประชุม,7110-006-17239,-,27-ก.ย.-49,1,ชำรุด,ห้องประชุม,เก้าอี้,ห้องประชุม
217,เก้าอี้สำหรับที่ประชุม,7110-006-17240,-,27-ก.ย.-49,1,ชำรุด,ห้องจัดเก็บครุภัณฑ์,เก้าอี้,ห้องจัดเก็บครุภัณฑ์
218,เก้าอี้สำหรับที่ประชุม,7110-006-17241,-,27-ก.ย.-49,1,ใช้ได้,เป้,เก้าอี้,-
219,เก้าอี้สำหรับที่ประชุม,7110-006-17242,-,27-ก.ย.-49,1,ใช้ได้,หัวหน้าโจ,เก้าอี้,-
220,เก้าอี้สำหรับที่ประชุม,7110-006-17243,-,27-ก.ย.-49,1,ใช้ได้,ห้องประชุม,เก้าอี้,ห้องประชุม
221,เก้าอี้สำหรับที่ประชุม,7110-006-17244,-,27-ก.ย.-49,1,ใช้ได้,หน้าห้องผอ.,เก้าอี้,หน้าห้อง ผอ.ส่วน
222,เก้าอี้สำหรับที่ประชุม,7110-006-17245,-,27-ก.ย.-49,1,ชำรุด,ห้องประชุม,เก้าอี้,ห้องประชุม
223,เก้าอี้สำหรับที่ประชุม,7110-006-17246,-,27-ก.ย.-49,1,ใช้ได้,ห้องประชุม,เก้าอี้,ห้องประชุม
224,เก้าอี้สำหรับที่ประชุม,7110-006-17247,-,27-ก.ย.-49,1,ใช้ได้,ห้องจัดเก็บครุภัณฑ์,เก้าอี้,ห้องจัดเก็บครุภัณฑ์
225,เก้าอี้สำหรับที่ประชุม,7110-006-17248,-,27-ก.ย.-49,1,ใช้ได้,ห้องพี่ย๊ะ,เก้าอี้,-
226,เก้าอี้สำหรับที่ประชุม,7110-006-17249,-,27-ก.ย.-49,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,เก้าอี้,ห้องเก็บของพี่ย๊ะ
227,เก้าอี้สำหรับที่ประชุม,7110-006-172450,-,27-ก.ย.-49,1,ชำรุด,ห้องประชุม,เก้าอี้,ห้องประชุม
228,เก้าอี้สำหรับที่ประชุม,7110-006-17251,-,27-ก.ย.-49,1,ใช้ได้,หน้าห้องพี่พงศ์,เก้าอี้,-
229,เก้าอี้สำหรับที่ประชุม,7110-006-172452,-,27-ก.ย.-49,1,ใช้ได้,ห้องประชุม,เก้าอี้,ห้องประชุม
230,เก้าอี้สำหรับที่ประชุม,7110-006-172453,-,27-ก.ย.-49,1,ใช้ได้,พี่ย๊ะ,เก้าอี้,-
231,โต๊ะสำหรับวางระวางแผนที่,7110-007-15-2632,-,27-ก.ย.-49,1,ชำรุด,ทางเดิน วางไมโครเวฟ,โต๊ะ,-
232,โต๊ะสำหรับวางระวางแผนที่,7110-007-15-2633,-,27-ก.ย.-49,1,ชำรุด,ห้องเก็บของด้านล่าง,โต๊ะ,ห้องเก็บของ
233,โต๊ะสำหรับวางระวางแผนที่,7110-007-15-2634,-,27-ก.ย.-49,1,ใช้ได้,หน้าลิฟท์,โต๊ะ,-
234,โต๊ะสำหรับวางระวางแผนที่,7110-007-15-2635,-,27-ก.ย.-49,1,ใช้ได้,ทางเดินห้องจัดเก็บครุภัณฑ์,โต๊ะ,-
235,โต๊ะสำหรับวางระวางแผนที่,7110-007-15-2636,-,27-ก.ย.-49,1,ใช้ได้,ห้องจัดเก็บครุภัณฑ์,โต๊ะ,ห้องจัดเก็บครุภัณฑ์
236,โต๊ะสำหรับวางระวางแผนที่,7110-007-15-2637,-,27-ก.ย.-49,1,ใช้ได้,ทางเดินห้องจัดเก็บครุภัณฑ์,โต๊ะ,-
237,โต๊ะสำหรับวางระวางแผนที่,7110-007-15-2638,-,27-ก.ย.-49,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,โต๊ะ,ห้องเก็บของพี่ย๊ะ
238,โต๊ะสำหรับวางระวางแผนที่,7110-007-15-2639,-,27-ก.ย.-49,1,ใช้ได้,ห้องประชุม,โต๊ะ,ห้องประชุม
239,เครื่องพิมพ์มัลติฟังก์ชั่น ยี่ห้อ CANON ,๕๘๑๕-๐๐๑-2120,-,๒๘-พ.ค.-๑๙๖๑,1,ใช้ได้,พี่หน่อย,เครื่องพิมพ์,-
240,อุปกรณ์เชื่อมต่อเครือข่าย,7440-115-0013.8,-,22-ธ.ค.-49,1,ใช้ได้,ห้องปฏิบัติการ 1 (หลังมารีย๊ะ),อุปกรณ์เชื่อมต่อเครือข่าย,ห้องปฏิบัติการ 1
241,เครื่องพิมพ์ยี่ห้อ EPSON รุ่น WF ๗๐๑๑,ไม่มีหมายเลข,-,27 เม.ย 59,1,ใช้ได้,SERIAL NO.NL4Y003240 (พี่หน่อย),เครื่องพิมพ์,-
242,ตู้เหล็กเก็บเอกสารชนิด 2 ลิ้นชัก,7110-003-8-0730,-,19-ธ.ค.-49,1,ใช้ได้,ข้างกิ๊ก,ตู้,-
243,ตู้เหล็กเก็บเอกสารชนิด 2 ลิ้นชัก,7110-003-8-0731,-,19-ธ.ค.-49,1,ใช้ได้,ห้อง ผอ.,ตู้,หน้าห้อง ผอ.ส่วน
244,ตู้เหล็กเก็บเอกสารชนิด 10 ลิ้นชัก,7110-003-8-0728,-,19-ธ.ค.-49,1,ใช้ได้,หน้าห้องหัวหน้าเชา,ตู้,-
245,ตู้เหล็กเก็บเอกสารชนิด 10 ลิ้นชัก,7110-003-8-0729,-,19-ธ.ค.-49,1,ใช้ได้,หน้าห้องหัวหน้าเชา,ตู้,-
246,ตู้ DVD 8 ชั้น,7110-013-8-0793,-,15-ม.ค.-50,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
247,ตู้ DVD 8 ชั้น,7110-013-8-0794,-,15-ม.ค.-50,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
248,เครื่องถ่ายเอกสาร,7430-003-0935/2554,-,2554,1,ชำรุด,ยี่ห้อโคนิก๊ามินอลต้า รุ่น BH363 (ห้องเก็บของ) หมายเลขเครื่อง AIUE 041000709,เครื่องถ่ายเอกสาร,ห้องเก็บของ
249,เครื่องถ่ายเอกสาร RICOH,7430-003-1183,-,16-เม.ย.-63,1,ใช้ได้,หมายเลขเครื่อง C399PC00824,เครื่องถ่ายเอกสาร,-
250,เครื่องกรองน้ำทำความร้อน-เย็น,4110-002-0392/2554,-,2554,1,ใช้ได้,ยี่ห้อฮุนได หน้าห้องน้ำ,เครื่องกรองน้ำทำความร้อน-เย็น,-
251,รถเข็นพื้นเหล็กชั้นเดียว,3920-005-0144,-,23-ส.ค.-56,1,ใช้ได้,ห้องเก็บของครัว หน้าลิฟท์,รถเข็นพื้นเหล็กชั้นเดียว,ห้องเก็บของครัว
252,เก้าอี้ล้อเลื่อน ระดับ 3-6,7110-006-18297,-,22-มิ.ย.-49,1,ชำรุด,ห้องเก็บของพี่ย๊ะ,เก้าอี้,ห้องเก็บของพี่ย๊ะ
253,เก้าอี้ล้อเลื่อน ระดับ 3-6,7110-006-18299,-,22-มิ.ย.-49,1,ชำรุด,ผึ้ง,เก้าอี้,-
254,เก้าอี้ล้อเลื่อน ระดับ 3-6,7110-006-18300,-,22-มิ.ย.-49,1,ชำรุด,ห้องเก็บของพี่ย๊ะ,เก้าอี้,ห้องเก็บของพี่ย๊ะ
255,เก้าอี้ล้อเลื่อน ระดับ 3-6,7110-006-18313,-,22-มิ.ย.-49,1,ชำรุด,พี่ย๊ะ,เก้าอี้,-
256,เก้าอี้ล้อเลื่อน ระดับ 3-6,7110-006-18302,-,22-มิ.ย.-49,1,ชำรุด,ใหม่,เก้าอี้,-
257,เก้าอี้ล้อเลื่อน ระดับ 3-6,7110-006-18306,-,22-มิ.ย.-49,1,ชำรุด,สาว,เก้าอี้,-
258,เก้าอี้ล้อเลื่อน ระดับ 3-6,7110-006-18308,-,22-มิ.ย.-49,1,ชำรุด,ชมพู่,เก้าอี้,-
259,เก้าอี้ล้อเลื่อน ระดับ 7-8 ,7110-006-18310,-,22-มิ.ย.-49,1,ชำรุด,ห้องหัวหน้าฝ่าย (ข้างห้องผอ.),เก้าอี้,ห้องหัวหน้าฝ่าย (ข้างห้องผอ.)
260,เก้าอี้ล้อเลื่อน ระดับ 7-8 ,7110-006-18312,-,22-มิ.ย.-49,1,ชำรุด,แอน,เก้าอี้,-
261,เก้าอี้ล้อเลื่อน ระดับ 7-8 ,7440-013-3072.1,-,22-มิ.ย.-49,1,ชำรุด,ห้องเก็บไม้แขวนระวาง,เก้าอี้,-
262,เก้าอี้ล้อเลื่อน,7110-006-18301,-,21-ก.ค.-49,1,ใช้ได้,แอร์,เก้าอี้,-
263,โต๊ะ ยี่ห้อ WINNER รุ่น WT80H,7440-013-3080.1,-,21-ก.ค.-49,1,ใช้ได้,หญิง,โต๊ะ,-
264,โต๊ะ ยี่ห้อ WINNER รุ่น WT80H,7440-013-3089.1,-,21-ก.ค.-49,1,ใช้ได้,มาย,โต๊ะ,-
265,โต๊ะ ยี่ห้อ WINNER รุ่น WT80H,7440-013-3093.1,-,21-ก.ค.-49,1,ใช้ได้,พี่น้อย,โต๊ะ,-
266,โต๊ะ ยี่ห้อ WINNER รุ่น WT80H,7440-013-3088.1,-,21-ก.ค.-49,1,ใช้ได้,หนุ่ย,โต๊ะ,-
267,โต๊ะ ยี่ห้อ WINNER รุ่น WT80H,7440-013-3064.1,-,21-ก.ค.-49,1,ใช้ได้,สาว,โต๊ะ,-
268,โต๊ะ ยี่ห้อ WINNER รุ่น WT80H,7440-013-3076.1,-,21-ก.ค.-49,1,ใช้ได้,มอส,โต๊ะ,-
269,โต๊ะ ยี่ห้อ WINNER รุ่น WT80H,7440-013-3095.1,-,21-ก.ค.-49,1,ใช้ได้,ก้อย,โต๊ะ,-
270,โต๊ะ ยี่ห้อ WINNER รุ่น WT80H,7440-013-3070.1,-,21-ก.ค.-49,1,ใช้ได้,ผึ้ง,โต๊ะ,-
271,โต๊ะ ยี่ห้อ WINNER รุ่น WT80H,7440-013-3077.1,-,21-ก.ค.-49,1,ใช้ได้,แบงค์,โต๊ะ,-
272,โต๊ะคอมพิวเตอร์แบบขาเหล็ก(ยาว)  ,7110-007-10-015,-,21-ก.ค.-49,1,ใช้ได้,กอบชัย,โต๊ะ,-
273,โต๊ะคอมพิวเตอร์แบบขาเหล็ก(ยาว)  ,7110-007-10-017,-,21-ก.ค.-49,1,ใช้ได้,สุเมธ,โต๊ะ,-
274,เก้าอี้หมุนพนักพิง ,7110-007-9-1893,-,,1,ชำรุด,ห้องปฏิบัติการ 3 ,เก้าอี้,ห้องปฏิบัติการ 3
275,เก้าอี้หมุนพนักพิง ,7440-013-3060.1/2549,-,,1,ชำรุด,ห้องปฏิบัติการ 3 ,เก้าอี้,ห้องปฏิบัติการ 3
276,เก้าอี้หมุนพนักพิง ,7440-013-3075.1/2549,-,,1,ชำรุด,พี่เหมียว,เก้าอี้,-
277,โต๊ะพับเหล็ก,7110-007-6-433,-,,1,ชำรุด,ฝากเก็บ กทผ.6,โต๊ะ,-
278,โต๊ะพับเหล็ก,7110-007-6-473,-,,1,ชำรุด,ฝากเก็บ กทผ.6,โต๊ะ,-
279,โต๊ะพับเหล็ก,7110-007-6-438,-,,1,ชำรุด,ฝากเก็บ กทผ.6,โต๊ะ,-
280,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9819,110000 004030 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะนพรัตน์,คอมพิวเตอร์,-
281,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9820,110000 004031 0 ,26-พ.ค.-66,1,ใช้ได้,โต๊ะว่าง,คอมพิวเตอร์,-
282,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9821,110000 004032 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะปาริชาติ,คอมพิวเตอร์,-
283,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9822,110000 004033 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะวาริณ,คอมพิวเตอร์,-
284,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9823,110000 004034 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะประชัน,คอมพิวเตอร์,-
285,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9824,110000 004035 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะว่าง,คอมพิวเตอร์,-
286,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9825,110000 004036 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะว่าง,คอมพิวเตอร์,-
287,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9826,110000 004037 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะอธินี,คอมพิวเตอร์,-
288,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9827,110000 004038 0,26-พ.ค.-66,1,ใช้ได้,ว่าง,คอมพิวเตอร์,-
289,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9828,110000 004039 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะว่าง,คอมพิวเตอร์,-
290,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9829,110000 004040 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะว่าง,คอมพิวเตอร์,-
291,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9830,110000 004041 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะว่าง,คอมพิวเตอร์,-
292,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9831,110000 004042 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะฤทธิชัย,คอมพิวเตอร์,-
293,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9832,110000 004043 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะมูฮัมหมัดนิสสัน,คอมพิวเตอร์,-
294,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9833,110000 004044 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะมรกต,คอมพิวเตอร์,-
295,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9834,110000 004045 0,26-พ.ค.-66,1,ใช้ได้,ว่าง,คอมพิวเตอร์,-
296,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9835,110000 004046 0,26-พ.ค.-66,1,ใช้ได้,ว่าง,คอมพิวเตอร์,-
297,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9836,110000 004047 0,26-พ.ค.-66,1,ใช้ได้,ว่าง,คอมพิวเตอร์,-
298,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9837,110000 004048 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะสิรินาถ,คอมพิวเตอร์,-
299,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9838,110000 004049 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะรัญชิดา,คอมพิวเตอร์,-
300,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9839,110000 004050 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะนิรดา,คอมพิวเตอร์,-
301,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9840,110000 004051 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะกอบชัย,คอมพิวเตอร์,-
302,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9841,110000 004052 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะปุณยวีร์,คอมพิวเตอร์,-
303,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9842,110000 004053 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะณัฐวุฒิ สุวานิช,คอมพิวเตอร์,-
304,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9843,110000 004054 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะว่าง,คอมพิวเตอร์,-
305,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9844,110000 004055 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะว่าง,คอมพิวเตอร์,-
306,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9845,110000 004056 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะเจนพิธีกร,คอมพิวเตอร์,-
307,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9846,110000 004057 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะกนกนุช,คอมพิวเตอร์,-
308,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9847,110000 004058 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะจิตรานุช,คอมพิวเตอร์,-
309,คอมพิวเตอร์ ยี่ห้อ Asus รุ่น D700SDES   ,7440-013-2-9848,110000 004059 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะภาคภูมิ,คอมพิวเตอร์,-
310,จอคอมพิวเตอร์ ยี่ห้อ Asus รุ่น C2221HE,7440-006-12580,110000 004030 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะนพรัตน์,จอคอมพิวเตอร์,-
311,จอคอมพิวเตอร์ ยี่ห้อ Asus รุ่น C2221HE,7440-006-12581,110000 004031 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะว่าง,จอคอมพิวเตอร์,-
312,จอคอมพิวเตอร์ ยี่ห้อ Asus รุ่น C2221HE,7440-006-12582,110000 004032 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะปาริชาติ,จอคอมพิวเตอร์,-
313,จอคอมพิวเตอร์ ยี่ห้อ Asus รุ่น C2221HE,7440-006-12583,110000 004033 0,26-พ.ค.-66,1,ใช้ได้,โต๊ะวาริณ,จอคอมพิวเตอร์,-
